ENERGYWORKS VIT-VALL,171367112.7
ARCELORMITTAL GIPUZKOA,221829387.6210277
ARCELORMITTAL SESTAO,244107806.57727516
DEGUISA,276735696.40264
ZABALGARBI,299697937.80010206
HIDROELECTRICA IBERICA,405333068.731
CEMENTOS LEMONA,483630643.720009
"IBERDROLA GENERACION, S.A.U.",638186330.0340271
SOCIEDAD FINANCIERA Y MINERA,834415307.0157132
PETROLEOS DEL NORTE,2426716400.3300004
