Contaminacion,Empresa
"ALUMINIO,RECUBRIMIENTOS ELECTROLITICOS CONDUCTORES"
"ALUMINIO,EUSKAL KATAFORESIS"
"ALUMINIO,INYECTAMETAL"
"ALUMINIO,EKONOR"
"ALUMINIO,UROLA KOSTAKO UDAL ELKARTEA"
"ALUMINIO,GARBIKER A.B. (S.A.)"
"ALUMINIO,GARBIKER A.B. (S.A.)"
"ALUMINIO,ELMET"
"ALUMINIO,HIJOS DE JUAN DE GARAY,S.A."
"ALUMINIO,CESPA CONTEN"
"ALUMINIO,BEFESA ALUMINIO BILBAO"
"ALUMINIO,HIERROS EGUINO"
"ALUMINIO,ALCOA TRANSFORMACION DE PRODUCTOS"
"ALUMINIO,FUNDICIONES INYECTADAS ALAVESAS S.A. (FIASA)"
"ALUMINIO,CROMADOS AZKOITIA"
"ALUMINIO,FUNDICIONES SAN ANTONIO DE URKIOLA"
"ALUMINIO,MANCOMUNIDAD DE SASIETA"
"ALUMINIO,VASCONTAINER"
"ALUMINIO,INDUSTRIAS DIMO"
"ALUMINIO,DEKITRA"
"ALUMINIO,ZEOLITAS DE ALAVA"
"ALUMINIO,BILBAINA DE ALQUITRANES"
"ALUMINIO,JESUS OÑATE Y HERMANOS"
"ALUMINIO,FAGOR EDERLAN"
"ALUMINIO,QUINTON HAZELL ESPAÑA"
"ALUMINIO,INDUSTRIAS GALYCAS"
"ALUMINIO,SOGECAR"
"ALUMINIO,MAIER"
"ALUMINIO,JOSE MARIA UCIN"
"ALUMINIO,MANCOMUNIDAD COMARCAL DE DEBABARRENA"
"ALUMINIO,PASTGUREN"
"ALUMINIO,GALVANIZADOS VITORIA"
"ALUMINIO,GARBIKER A.B. (S.A.)"
"ALUMINIO,SARRIOPAPEL Y CELULOSA"
"ALUMINIO,CESPA CONTEN"
"ALUMINIO,UROLA ERDIKO LAPATX ZABORTEGIA"
"ALUMINIO,ESTAMPACIONES METALICAS BIZKAIA, S.A."
"ALUMINIO,INYECTADOS GABI"
"ALUMINIO,ZUBIALDE,S.A."
"ALUMINIO,MAXAM EUROPE"
"ALUMINIO,INDUSTRIAS SEUR"
"ALUMINIO,INDUSTRIA DE TURBO PROPULSORES"
"ALUMINIO,INDUSTRIAS DIMO"
"ALUMINIO,AYUNTAMIENTO DE VITORIA-GASTEIZ"
"ALUMINIO,NERVACERO"
"TRIBUTILESTAÑO Y COMPUESTOS,MANCOMUNIDAD MUNICIPAL DE SAN MARCOS"
"TRIBUTILESTAÑO Y COMPUESTOS,CONSORCIO DE AGUAS BILBAO BIZKAIA"
"TRIBUTILESTAÑO Y COMPUESTOS,GARBIKER A.B. (S.A.)"
"TRIBUTILESTAÑO Y COMPUESTOS,BILBAINA DE ALQUITRANES"
"TRIBUTILESTAÑO Y COMPUESTOS,GARBIKER A.B. (S.A.)"
"TRIBUTILESTAÑO Y COMPUESTOS,GARBIKER A.B. (S.A.)"
"TRIBUTILESTAÑO Y COMPUESTOS,CONSORCIO DE AGUAS BILBAO BIZKAIA"
"TRIBUTILESTAÑO Y COMPUESTOS,MANCOMUNIDAD MUNICIPAL DE SAN MARCOS"
"TRIBUTILESTAÑO Y COMPUESTOS,GARBIKER A.B. (S.A.)"
"TRIBUTILESTAÑO Y COMPUESTOS,GARBIKER A.B. (S.A.)"
"TRIBUTILESTAÑO Y COMPUESTOS,BILBOKO UDALA - AYUNTAMIENTO DE BILBAO"
"TRIBUTILESTAÑO Y COMPUESTOS,GENERAL QUIMICA"
"NÍQUEL Y SUS COMPUESTOS,BEFESA ZINC AMOREBIETA"
"NÍQUEL Y SUS COMPUESTOS,BEFESA ALUMINIO BILBAO"
"NÍQUEL Y SUS COMPUESTOS,OBE HETTICH"
"NÍQUEL Y SUS COMPUESTOS,QUINTON HAZELL ESPAÑA"
"NÍQUEL Y SUS COMPUESTOS,TENNECO AUTOMOTIVE IBERICA"
"NÍQUEL Y SUS COMPUESTOS,PRODUCTOS TUBULARES"
"NÍQUEL Y SUS COMPUESTOS,CROMADOS ARRIZABALAGA"
"NÍQUEL Y SUS COMPUESTOS,INDUSTRIAS DIMO"
"NÍQUEL Y SUS COMPUESTOS,NOVACERO"
"NÍQUEL Y SUS COMPUESTOS,SOCIEDAD FINANCIERA Y MINERA"
"NÍQUEL Y SUS COMPUESTOS,GEA IBERICA"
"NÍQUEL Y SUS COMPUESTOS,PAPELERA DE AMAROZ"
"NÍQUEL Y SUS COMPUESTOS,TALLERES DE ESCORIAZA"
"NÍQUEL Y SUS COMPUESTOS,ACEROS INOXIDABLES OLARRA"
"NÍQUEL Y SUS COMPUESTOS,ARKEMA QUIMICA"
"NÍQUEL Y SUS COMPUESTOS,IBERDROLA GENERACION, S.A.U."
"NÍQUEL Y SUS COMPUESTOS,FAGOR ELECTRODOMESTICOS"
"NÍQUEL Y SUS COMPUESTOS,AIALA VIDRIO"
"NÍQUEL Y SUS COMPUESTOS,TRADEBE"
"NÍQUEL Y SUS COMPUESTOS,BRIDGESTONE HISPANIA"
"NÍQUEL Y SUS COMPUESTOS,CAMELOT97"
"NÍQUEL Y SUS COMPUESTOS,CANDY HOOVER ELECTRODOMESTICOS"
"NÍQUEL Y SUS COMPUESTOS,SMURFIT KAPPA NERVION, S.A."
"NÍQUEL Y SUS COMPUESTOS,GARBIKER A.B. (S.A.)"
"NÍQUEL Y SUS COMPUESTOS,RECUBRIMIENTOS GASTEIZ"
"NÍQUEL Y SUS COMPUESTOS,MERCEDES-BENZ ESPAÑA"
"NÍQUEL Y SUS COMPUESTOS,CORRUGADOS AZPEITIA"
"NÍQUEL Y SUS COMPUESTOS,PAPELERA GUIPUZCOANA DE ZICUÑAGA, S.A."
"NÍQUEL Y SUS COMPUESTOS,VIDRIERIA Y CRISTALERIA DE LAMIACO"
"NÍQUEL Y SUS COMPUESTOS,ILARDUYA PRODUCTOS DE FUNDICION, S.L.U."
"NÍQUEL Y SUS COMPUESTOS,LEAZ VALORIZACIONES"
"NÍQUEL Y SUS COMPUESTOS,HIERROS EGUINO"
"NÍQUEL Y SUS COMPUESTOS,DEGUISA"
"NÍQUEL Y SUS COMPUESTOS,INDUSTRIA AUXILIAR ALAVESA"
"NÍQUEL Y SUS COMPUESTOS,RECUBRIMIENTOS ELECTROLITICOS CONDUCTORES"
"NÍQUEL Y SUS COMPUESTOS,GARBIKER A.B. (S.A.)"
"NÍQUEL Y SUS COMPUESTOS,IBERDROLA GENERACION, S.A.U."
"NÍQUEL Y SUS COMPUESTOS,ZABALGARBI"
"NÍQUEL Y SUS COMPUESTOS,CONSORCIO DE AGUAS BILBAO BIZKAIA"
"NÍQUEL Y SUS COMPUESTOS,GALVANIZADOS ARRATE"
"NÍQUEL Y SUS COMPUESTOS,SIDENOR INDUSTRIAL"
"NÍQUEL Y SUS COMPUESTOS,MOMENTIVE SPECIALTY CHEMICALS IBERICA"
"NÍQUEL Y SUS COMPUESTOS,JEZ SISTEMAS FERROVIARIOS"
"NÍQUEL Y SUS COMPUESTOS,HIJOS DE JUAN DE GARAY,S.A."
"NÍQUEL Y SUS COMPUESTOS,TUBACEX TUBOS INOXIDABLES"
"NÍQUEL Y SUS COMPUESTOS,MUGAPE"
"NÍQUEL Y SUS COMPUESTOS,GKN DRIVELINE ZUMAIA"
"NÍQUEL Y SUS COMPUESTOS,MEBUNIK, S.A."
"NÍQUEL Y SUS COMPUESTOS,FUCHOSA"
"NÍQUEL Y SUS COMPUESTOS,ZF SACHS ESPAÑA"
"NÍQUEL Y SUS COMPUESTOS,BEFESA DESULFURACION"
"NÍQUEL Y SUS COMPUESTOS,MANCOMUNIDAD DE SASIETA"
"NÍQUEL Y SUS COMPUESTOS,UROLA KOSTAKO UDAL ELKARTEA"
"NÍQUEL Y SUS COMPUESTOS,VASCONTAINER"
"NÍQUEL Y SUS COMPUESTOS,CELULOSAS MOLDEADAS"
"NÍQUEL Y SUS COMPUESTOS,USIMEK BERGARA, SL"
"NÍQUEL Y SUS COMPUESTOS,SARRIOPAPEL Y CELULOSA"
"NÍQUEL Y SUS COMPUESTOS,FUNDICIONES SAN ELOY"
"NÍQUEL Y SUS COMPUESTOS,PASTGUREN"
"NÍQUEL Y SUS COMPUESTOS,TALLER AUXILIAR DE GALVANOTECNIA ALAVESA"
"NÍQUEL Y SUS COMPUESTOS,FUNDICIONES URBINA"
"NÍQUEL Y SUS COMPUESTOS,RECUBRIMIENTOS GASTEIZ"
"NÍQUEL Y SUS COMPUESTOS,ELMET"
"NÍQUEL Y SUS COMPUESTOS,CESPA CONTEN"
"NÍQUEL Y SUS COMPUESTOS,FAGOR EDERLAN"
"NÍQUEL Y SUS COMPUESTOS,LITOGRAFIA ALAVESA, S.L."
"NÍQUEL Y SUS COMPUESTOS,MAIER"
"NÍQUEL Y SUS COMPUESTOS,HIDROELECTRICA IBERICA"
"NÍQUEL Y SUS COMPUESTOS,TS FUNDICIONES"
"NÍQUEL Y SUS COMPUESTOS,S. IZAGUIRRE"
"NÍQUEL Y SUS COMPUESTOS,MANCOMUNIDAD MUNICIPAL DE SAN MARCOS"
"NÍQUEL Y SUS COMPUESTOS,PAPEL ARALAR"
"NÍQUEL Y SUS COMPUESTOS,TUBACEX TUBOS INOXIDABLES"
"NÍQUEL Y SUS COMPUESTOS,COMPAÑIA DE BEBIDAS PEPSICO"
"NÍQUEL Y SUS COMPUESTOS,SIDENOR INDUSTRIAL"
"NÍQUEL Y SUS COMPUESTOS,ACERIA DE ALAVA,"
"NÍQUEL Y SUS COMPUESTOS,ELECTROCROMO"
"NÍQUEL Y SUS COMPUESTOS,TS FUNDICIONES"
"NÍQUEL Y SUS COMPUESTOS,MANCOMUNIDAD MUNICIPAL DE SAN MARCOS"
"NÍQUEL Y SUS COMPUESTOS,TALLERES FABIO MURGA"
"NÍQUEL Y SUS COMPUESTOS,JESUS OÑATE Y HERMANOS"
"NÍQUEL Y SUS COMPUESTOS,SIDENOR INDUSTRIAL"
"NÍQUEL Y SUS COMPUESTOS,EKONOR"
"NÍQUEL Y SUS COMPUESTOS,SARRIOPAPEL Y CELULOSA"
"NÍQUEL Y SUS COMPUESTOS,FAGOR EDERLAN"
"NÍQUEL Y SUS COMPUESTOS,INDUSTRIAS GALYCAS"
"NÍQUEL Y SUS COMPUESTOS,SNA EUROPE INDUSTRIES IBERIA"
"NÍQUEL Y SUS COMPUESTOS,SALICA INDUSTRIA ALIMENTARIA"
"NÍQUEL Y SUS COMPUESTOS,FURESA"
"NÍQUEL Y SUS COMPUESTOS,BILBOZINC"
"NÍQUEL Y SUS COMPUESTOS,FMC-FORET"
"NÍQUEL Y SUS COMPUESTOS,CONSORCIO DE AGUAS BILBAO BIZKAIA"
"NÍQUEL Y SUS COMPUESTOS,INQUITEX"
"NÍQUEL Y SUS COMPUESTOS,CESPA GR"
"NÍQUEL Y SUS COMPUESTOS,MANCOMUNIDAD COMARCAL DE DEBABARRENA"
"NÍQUEL Y SUS COMPUESTOS,DEBAGOIENEKO MANKOMUNITATEA"
"NÍQUEL Y SUS COMPUESTOS,GALVANIZADOS VITORIA"
"NÍQUEL Y SUS COMPUESTOS,AYUNTAMIENTO DE VITORIA-GASTEIZ"
"NÍQUEL Y SUS COMPUESTOS,AYUNTAMIENTO DE VITORIA-GASTEIZ"
"NÍQUEL Y SUS COMPUESTOS,NUBIOLA PIGMENTOS"
"NÍQUEL Y SUS COMPUESTOS,DOW CHEMICAL IBERICA"
"NÍQUEL Y SUS COMPUESTOS,ALDETU"
"NÍQUEL Y SUS COMPUESTOS,GARBIKER A.B. (S.A.)"
"NÍQUEL Y SUS COMPUESTOS,BILBAINA DE ALQUITRANES"
"NÍQUEL Y SUS COMPUESTOS,CESPA CONTEN"
"NÍQUEL Y SUS COMPUESTOS,GENERAL QUIMICA"
"NÍQUEL Y SUS COMPUESTOS,EUSKAL KATAFORESIS"
"NÍQUEL Y SUS COMPUESTOS,ONDULINE MATERIALES DE CONSTRUCCION"
"NÍQUEL Y SUS COMPUESTOS,UROLA ERDIKO LAPATX ZABORTEGIA"
"NÍQUEL Y SUS COMPUESTOS,ARCELORMITTAL SESTAO"
"NÍQUEL Y SUS COMPUESTOS,AL-KO RECORD"
"NÍQUEL Y SUS COMPUESTOS,ESTAMPACIONES METALICAS BIZKAIA, S.A."
"NÍQUEL Y SUS COMPUESTOS,PRODUCTOS TUBULARES"
"NÍQUEL Y SUS COMPUESTOS,MAXAM U.E.B."
"NÍQUEL Y SUS COMPUESTOS,BILBOKO UDALA - AYUNTAMIENTO DE BILBAO"
"NÍQUEL Y SUS COMPUESTOS,ELECTROQUIMICA DE HERNANI"
"NÍQUEL Y SUS COMPUESTOS,ARKEMA QUIMICA"
"NÍQUEL Y SUS COMPUESTOS,INYECTADOS GABI"
"NÍQUEL Y SUS COMPUESTOS,SNA EUROPE INDUSTRIES IBERIA"
"NÍQUEL Y SUS COMPUESTOS,AMPO"
"NÍQUEL Y SUS COMPUESTOS,S.A. DE DESC. Y ELIMIN. DE RESID."
"NÍQUEL Y SUS COMPUESTOS,GARBIKER A.B. (S.A.)"
"NÍQUEL Y SUS COMPUESTOS,MAXAM EUROPE"
"NÍQUEL Y SUS COMPUESTOS,NERVACERO"
"NÍQUEL Y SUS COMPUESTOS,SOCIEDAD FINANCIERA Y MINERA"
"NÍQUEL Y SUS COMPUESTOS,MUNKSJÖ PAPER"
"NÍQUEL Y SUS COMPUESTOS,PAPELERA DEL ORIA"
"NÍQUEL Y SUS COMPUESTOS,PAPRESA"
"NÍQUEL Y SUS COMPUESTOS,FAGOR ELECTRODOMESTICOS"
"NÍQUEL Y SUS COMPUESTOS,OLAZABAL Y HUARTE"
"NÍQUEL Y SUS COMPUESTOS,PEMCO ESMALTES"
"NÍQUEL Y SUS COMPUESTOS,EVONIK SILQUIMICA"
"NÍQUEL Y SUS COMPUESTOS,CROMADOS AZKOITIA"
"NÍQUEL Y SUS COMPUESTOS,PETROLEOS DEL NORTE"
"NÍQUEL Y SUS COMPUESTOS,BEFESA ZINC ASER"
"NÍQUEL Y SUS COMPUESTOS,FUNDICIONES SAN ANTONIO DE URKIOLA"
"NÍQUEL Y SUS COMPUESTOS,LAMINADOS LOSAL"
"NÍQUEL Y SUS COMPUESTOS,TALLERES DE ESCORIAZA"
"NÍQUEL Y SUS COMPUESTOS,KROSAKI AMR REFRACTARIOS S.A.U."
"NÍQUEL Y SUS COMPUESTOS,MIRVAT"
"NÍQUEL Y SUS COMPUESTOS,GARBIKER A.B. (S.A.)"
"NÍQUEL Y SUS COMPUESTOS,ASUA PRODUCTS"
"NÍQUEL Y SUS COMPUESTOS,INDUSTRIAS DIMO"
"FÓSFORO TOTAL,SNA EUROPE INDUSTRIES IBERIA"
"FÓSFORO TOTAL,AVICOLA GORROTXATEGI"
"FÓSFORO TOTAL,LAMINADOS LOSAL"
"FÓSFORO TOTAL,BRIDGESTONE HISPANIA"
"FÓSFORO TOTAL,MANCOMUNIDAD DE SASIETA"
"FÓSFORO TOTAL,VASCONTAINER"
"FÓSFORO TOTAL,SNA EUROPE INDUSTRIES IBERIA"
"FÓSFORO TOTAL,FUNDICIONES SAN ELOY"
"FÓSFORO TOTAL,SIDENOR INDUSTRIAL"
"FÓSFORO TOTAL,TALLER AUXILIAR DE GALVANOTECNIA ALAVESA"
"FÓSFORO TOTAL,AYUNTAMIENTO DE VITORIA-GASTEIZ"
"FÓSFORO TOTAL,MUNKSJÖ PAPER"
"FÓSFORO TOTAL,SIDENOR INDUSTRIAL"
"FÓSFORO TOTAL,FAGOR ELECTRODOMESTICOS"
"FÓSFORO TOTAL,GENERAL QUIMICA"
"FÓSFORO TOTAL,ONDULINE MATERIALES DE CONSTRUCCION"
"FÓSFORO TOTAL,PRODUCTOS DE FUNDICION"
"FÓSFORO TOTAL,ZF SACHS ESPAÑA"
"FÓSFORO TOTAL,TRADEBE"
"FÓSFORO TOTAL,GALVANOTECNIA Y DERIVADOS"
"FÓSFORO TOTAL,TALLERES DE ESCORIAZA"
"FÓSFORO TOTAL,KROSAKI AMR REFRACTARIOS S.A.U."
"FÓSFORO TOTAL,CROMADOS ARRIZABALAGA"
"FÓSFORO TOTAL,NOVACERO"
"FÓSFORO TOTAL,AMURRIO FERROCARRIL Y EQUIPOS"
"FÓSFORO TOTAL,ALGODONERA DE SAN ANTONIO INDUSTRIAL"
"FÓSFORO TOTAL,VIDRIERIA Y CRISTALERIA DE LAMIACO"
"FÓSFORO TOTAL,ALCOA TRANSFORMACION DE PRODUCTOS"
"FÓSFORO TOTAL,GAMARRA, S.A."
"FÓSFORO TOTAL,DEGUISA"
"FÓSFORO TOTAL,RECUBRIMIENTOS ELECTROLITICOS CONDUCTORES"
"FÓSFORO TOTAL,SALICA INDUSTRIA ALIMENTARIA"
"FÓSFORO TOTAL,GKN DRIVELINE ZUMAIA"
"FÓSFORO TOTAL,BEFESA ZINC SONDIKA"
"FÓSFORO TOTAL,KIMBERLY CLARK"
"FÓSFORO TOTAL,PERFILES ESPECILES SELAK"
"FÓSFORO TOTAL,MOMENTIVE SPECIALTY CHEMICALS IBERICA"
"FÓSFORO TOTAL,ECN CABLE GROUP"
"FÓSFORO TOTAL,ACERIA DE ALAVA,"
"FÓSFORO TOTAL,BEFESA ZINC AMOREBIETA"
"FÓSFORO TOTAL,PAPRESA"
"FÓSFORO TOTAL,MANCOMUNIDAD MUNICIPAL DE SAN MARCOS"
"FÓSFORO TOTAL,DOW CHEMICAL IBERICA"
"FÓSFORO TOTAL,BAHIA DE BIZKAIA ELECTRICIDAD"
"FÓSFORO TOTAL,CINTAS ADHESIVAS UBIS"
"FÓSFORO TOTAL,IBERDROLA GENERACION, S.A.U."
"FÓSFORO TOTAL,FAGOR EDERLAN"
"FÓSFORO TOTAL,OBE HETTICH"
"FÓSFORO TOTAL,OLAZABAL Y HUARTE"
"FÓSFORO TOTAL,OFITA INTERIORES S.A."
"FÓSFORO TOTAL,PEMCO ESMALTES"
"FÓSFORO TOTAL,ARCELORMITTAL SESTAO"
"FÓSFORO TOTAL,ARKEMA QUIMICA"
"FÓSFORO TOTAL,TS FUNDICIONES"
"FÓSFORO TOTAL,MIRVAT"
"FÓSFORO TOTAL,ASUA PRODUCTS"
"FÓSFORO TOTAL,TUBACEX TUBOS INOXIDABLES"
"FÓSFORO TOTAL,RECUBRIMIENTOS GASTEIZ"
"FÓSFORO TOTAL,MERCEDES-BENZ ESPAÑA"
"FÓSFORO TOTAL,DEKITRA"
"FÓSFORO TOTAL,NERVACERO"
"FÓSFORO TOTAL,ELECTROCROMO"
"FÓSFORO TOTAL,PAPELERA DE AMAROZ"
"FÓSFORO TOTAL,TALLERES DE ESCORIAZA"
"FÓSFORO TOTAL,FAGOR EDERLAN"
"FÓSFORO TOTAL,PAPELERA GUIPUZCOANA DE ZICUÑAGA, S.A."
"FÓSFORO TOTAL,ACEROS INOXIDABLES OLARRA"
"FÓSFORO TOTAL,BILBAINA DE ALQUITRANES"
"FÓSFORO TOTAL,SEBERIA BILBAINA"
"FÓSFORO TOTAL,SARRIOPAPEL Y CELULOSA"
"FÓSFORO TOTAL,FAGOR ELECTRODOMESTICOS"
"FÓSFORO TOTAL,FAGOR EDERLAN"
"FÓSFORO TOTAL,LITOGRAFIA ALAVESA, S.L."
"FÓSFORO TOTAL,EUSKAL KATAFORESIS"
"FÓSFORO TOTAL,FUNDICION EN CASCARA"
"FÓSFORO TOTAL,CROMADOS AZKOITIA"
"FÓSFORO TOTAL,TENNECO AUTOMOTIVE IBERICA"
"FÓSFORO TOTAL,BEFESA DESULFURACION"
"FÓSFORO TOTAL,BILBOKO UDALA - AYUNTAMIENTO DE BILBAO"
"FÓSFORO TOTAL,AVICOLA BENIGNO ASPURU S.L."
"FÓSFORO TOTAL,PAPEL ARALAR"
"FÓSFORO TOTAL,MOMENTIVE SPECIALTY CHEMICALS ASUA, S.L."
"FÓSFORO TOTAL,COMPAÑIA DE BEBIDAS PEPSICO"
"FÓSFORO TOTAL,NUBIOLA PIGMENTOS"
"FÓSFORO TOTAL,HIJOS DE JUAN DE GARAY,S.A."
"FÓSFORO TOTAL,FUNDICIONES WIND ENERGY CASTINH"
"FÓSFORO TOTAL,CORRUGADOS AZPEITIA"
"FÓSFORO TOTAL,INDUSTRIA AUXILIAR ALAVESA"
"FÓSFORO TOTAL,EVONIK SILQUIMICA"
"FÓSFORO TOTAL,LARRABE OILOTEGIA SAT Nº 130"
"FÓSFORO TOTAL,CONSORCIO DE AGUAS BILBAO BIZKAIA"
"FÓSFORO TOTAL,ARCELORMITTAL GIPUZKOA"
"FÓSFORO TOTAL,DEBAGOIENEKO MANKOMUNITATEA"
"FÓSFORO TOTAL,INDUSTRIAS FEGAR"
"FÓSFORO TOTAL,USIMEK BERGARA, SL"
"FÓSFORO TOTAL,AMPO"
"FÓSFORO TOTAL,FUNDIAL"
"FÓSFORO TOTAL,INDUSTRIAS DIMO"
"FÓSFORO TOTAL,ARAGONESA DE PIENSOS"
"FÓSFORO TOTAL,CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES"
"FÓSFORO TOTAL,TALLERES FABIO MURGA"
"FÓSFORO TOTAL,ILARDUYA PRODUCTOS DE FUNDICION, S.L.U."
"FÓSFORO TOTAL,EKONOR"
"FÓSFORO TOTAL,CASTINOX"
"FÓSFORO TOTAL,BILBOZINC"
"FÓSFORO TOTAL,IBERDROLA GENERACION, S.A.U."
"FÓSFORO TOTAL,PRODUCTOS TUBULARES"
"FÓSFORO TOTAL,HIDROELECTRICA IBERICA"
"FÓSFORO TOTAL,PRODUCTOS TUBULARES"
"FÓSFORO TOTAL,MANCOMUNIDAD MUNICIPAL DE SAN MARCOS"
"FÓSFORO TOTAL,CELULOSAS MOLDEADAS"
"FÓSFORO TOTAL,GALVANIZADOS VITORIA"
"FÓSFORO TOTAL,SARRIOPAPEL Y CELULOSA"
"FÓSFORO TOTAL,PIROTECNIA LECEA"
"FÓSFORO TOTAL,AYUNTAMIENTO DE VITORIA-GASTEIZ"
"FÓSFORO TOTAL,PAPELERA DEL ORIA"
"FÓSFORO TOTAL,TS FUNDICIONES"
"FÓSFORO TOTAL,SIDENOR INDUSTRIAL"
"FÓSFORO TOTAL,TUBACEX TUBOS INOXIDABLES"
"FÓSFORO TOTAL,QUINTON HAZELL ESPAÑA"
"FÓSFORO TOTAL,AIALA VIDRIO"
"FÓSFORO TOTAL,MUGAPE"
"FÓSFORO TOTAL,ESTAMPACIONES METALICAS BIZKAIA, S.A."
"FÓSFORO TOTAL,BUNGE IBERICA"
"FÓSFORO TOTAL,CONSORCIO DE AGUAS BILBAO BIZKAIA"
"FÓSFORO TOTAL,CELULOSAS DE HERNANI"
"FÓSFORO TOTAL,CANDY HOOVER ELECTRODOMESTICOS"
"FÓSFORO TOTAL,SMURFIT KAPPA NERVION, S.A."
"FÓSFORO TOTAL,COMPAÑIA NORTEÑA DE BEBIDAS GASEOSAS (NORBEGA)"
"FÓSFORO TOTAL,FUNDICIONES URBINA"
"FÓSFORO TOTAL,INDUSTRIAS DIMO"
"FÓSFORO TOTAL,KIME, S.A."
"FÓSFORO TOTAL,SIDENOR INDUSTRIAL"
"FÓSFORO TOTAL,JEZ SISTEMAS FERROVIARIOS"
"ISOPROTURON,BILBAINA DE ALQUITRANES"
"ISOPROTURON,GARBIKER A.B. (S.A.)"
"ISOPROTURON,GENERAL QUIMICA"
"ISOPROTURON,GARBIKER A.B. (S.A.)"
"ISOPROTURON,GARBIKER A.B. (S.A.)"
"ISOPROTURON,MANCOMUNIDAD MUNICIPAL DE SAN MARCOS"
"ISOPROTURON,CONSORCIO DE AGUAS BILBAO BIZKAIA"
"ISOPROTURON,BILBOKO UDALA - AYUNTAMIENTO DE BILBAO"
"ISOPROTURON,MANCOMUNIDAD MUNICIPAL DE SAN MARCOS"
"ISOPROTURON,CONSORCIO DE AGUAS BILBAO BIZKAIA"
"ISOPROTURON,GARBIKER A.B. (S.A.)"
"ISOPROTURON,GARBIKER A.B. (S.A.)"
"ETOXILATOS DE NONILFENOL (NP/NPE) Y SUSTANCIAS AFINES,CONSORCIO DE AGUAS BILBAO BIZKAIA"
"ETOXILATOS DE NONILFENOL (NP/NPE) Y SUSTANCIAS AFINES,GARBIKER A.B. (S.A.)"
"ETOXILATOS DE NONILFENOL (NP/NPE) Y SUSTANCIAS AFINES,GARBIKER A.B. (S.A.)"
"ETOXILATOS DE NONILFENOL (NP/NPE) Y SUSTANCIAS AFINES,EVONIK SILQUIMICA"
"ETOXILATOS DE NONILFENOL (NP/NPE) Y SUSTANCIAS AFINES,ELECTROQUIMICA DE HERNANI"
"ETOXILATOS DE NONILFENOL (NP/NPE) Y SUSTANCIAS AFINES,GARBIKER A.B. (S.A.)"
"ETOXILATOS DE NONILFENOL (NP/NPE) Y SUSTANCIAS AFINES,IRIZAR"
"ETOXILATOS DE NONILFENOL (NP/NPE) Y SUSTANCIAS AFINES,GENERAL QUIMICA"
"ETOXILATOS DE NONILFENOL (NP/NPE) Y SUSTANCIAS AFINES,BILBOKO UDALA - AYUNTAMIENTO DE BILBAO"
"ETOXILATOS DE NONILFENOL (NP/NPE) Y SUSTANCIAS AFINES,GARBIKER A.B. (S.A.)"
"ETOXILATOS DE NONILFENOL (NP/NPE) Y SUSTANCIAS AFINES,GARBIKER A.B. (S.A.)"
"ETOXILATOS DE NONILFENOL (NP/NPE) Y SUSTANCIAS AFINES,CONSORCIO DE AGUAS BILBAO BIZKAIA"
"ETOXILATOS DE NONILFENOL (NP/NPE) Y SUSTANCIAS AFINES,MANCOMUNIDAD MUNICIPAL DE SAN MARCOS"
"ETOXILATOS DE NONILFENOL (NP/NPE) Y SUSTANCIAS AFINES,BILBAINA DE ALQUITRANES"
"ETOXILATOS DE NONILFENOL (NP/NPE) Y SUSTANCIAS AFINES,BEFESA DESULFURACION"
"ETOXILATOS DE NONILFENOL (NP/NPE) Y SUSTANCIAS AFINES,MANCOMUNIDAD MUNICIPAL DE SAN MARCOS"
"BENCENO (COMO BTEX),GARBIKER A.B. (S.A.)"
"BENCENO (COMO BTEX),DOW CHEMICAL IBERICA"
"BENCENO (COMO BTEX),EVONIK SILQUIMICA"
"BENCENO (COMO BTEX),GARBIKER A.B. (S.A.)"
"BENCENO (COMO BTEX),GARBIKER A.B. (S.A.)"
"BENCENO (COMO BTEX),ONDULINE MATERIALES DE CONSTRUCCION"
"BENCENO (COMO BTEX),ILARDUYA PRODUCTOS DE FUNDICION, S.L.U."
"BENCENO (COMO BTEX),BILBAINA DE ALQUITRANES"
"BENCENO (COMO BTEX),AIALA VIDRIO"
"BENCENO (COMO BTEX),GARBIKER A.B. (S.A.)"
"BENCENO (COMO BTEX),CONSORCIO DE AGUAS BILBAO BIZKAIA"
"BENCENO (COMO BTEX),ELECTROQUIMICA DE HERNANI"
"BENCENO (COMO BTEX),MOMENTIVE SPECIALTY CHEMICALS ASUA, S.L."
"BENCENO (COMO BTEX),BILBOKO UDALA - AYUNTAMIENTO DE BILBAO"
"BENCENO (COMO BTEX),CONSORCIO DE AGUAS BILBAO BIZKAIA"
"BENCENO (COMO BTEX),MANCOMUNIDAD MUNICIPAL DE SAN MARCOS"
"BENCENO (COMO BTEX),MANCOMUNIDAD MUNICIPAL DE SAN MARCOS"
"BENCENO (COMO BTEX),GENERAL QUIMICA"
"BENCENO (COMO BTEX),ASUA PRODUCTS"
"BENCENO (COMO BTEX),GARBIKER A.B. (S.A.)"
"BENCENO (COMO BTEX),PIROTECNIA LECEA"
"BENCENO (COMO BTEX),BEFESA DESULFURACION"
"BENCENO (COMO BTEX),AYUNTAMIENTO DE VITORIA-GASTEIZ"
"ALDEHIDOS,FORMICA"
"DICLORODIFENIL TRICLOROETANO (DDT),GARBIKER A.B. (S.A.)"
