Empresa,Frecuencia
ACEROS INOXIDABLES OLARRA,39
MAXAM EUROPE,13
LEAF BUSINESS HOLDINGS SPAIN,14
"SMURFIT KAPPA NERVION, S.A.",14
RECUBRIMIENTOS ELECTROLITICOS CONDUCTORES,2
SEBERIA BILBAINA,1
"PAPELERA GUIPUZCOANA DE ZICUÑAGA, S.A.",30
ENERGYWORKS VIT-VALL,15
SOGECAR,40
BECKER,6
"MOMENTIVE SPECIALTY CHEMICALS ASUA, S.L.",15
INTERENVASES,15
MIRVAT,9
CONSORCIO DE AGUAS BILBAO BIZKAIA,17
S.A. DE DESC. Y ELIMIN. DE RESID.,784
FORMICA,28
NOVACERO,16
INDUSTRIAS SEUR,7
FUNDICIONES INYECTADAS ALAVESAS S.A. (FIASA),13
TUBOS REUNIDOS INDUSTRIAL S.L.U.,30
PIROTECNIA LECEA,1
JOSE MARIA UCIN,6
AVICOLA ARBARAITZ,2
BGB GIOVANNI BOZZETTO,7
FERALCO IBERIA,18
GEA IBERICA,20
RECUBRIMIENTOS GASTEIZ,2
GALVANIZADOS ARRATE,4
INDUSTRIA AUXILIAR ALAVESA,11
FUCHOSA,11
CASTINOX,5
AVICOLA TOLOSA SAT,4
EVONIK SILQUIMICA,9
BAHIA DE BIZKAIA ELECTRICIDAD,14
"LITOGRAFIA ALAVESA, S.L.",13
CEMENTOS LEMONA,20
INYECTAMETAL,12
FUNDICIONES GARBI,6
BEFESA ZINC AMOREBIETA,19
ELECTROCROMO,7
SOCIEDAD FINANCIERA Y MINERA,36
"MEBUNIK, S.A.",14
FAGOR EDERLAN,68
